regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
interior,0.404,0.404,0.43785835775782966,0.1829050720577634,0.25495328570006626,0.4402182339347055,0.002782924116070432,0.43476370266720743,0.44567276520220356,0.43785835775782966,0.5,0.9070784533348359
interior,0.406,0.406,0.4374034594571333,0.1837217585743901,0.2536817008827432,0.4377674517766201,0.002767953096799974,0.4323422637068921,0.44319263984634805,0.4374034594571333,0.5,0.9018246028955599
interior,0.40800000000000003,0.40800000000000003,0.4369540869338621,0.1845376288127073,0.2524164581211548,0.4439908071032925,0.0028345143960917174,0.4384351588869527,0.4495464553196322,0.4369540869338621,0.5,0.896610568564787
interior,0.41000000000000003,0.41000000000000003,0.4365102093727516,0.18535268358858548,0.2511575257841661,0.4370305402821121,0.002778517735578902,0.43158464552037745,0.4424764350438467,0.4365102093727516,0.5,0.8914359406745958
interior,0.41200000000000003,0.41200000000000003,0.4360717961154824,0.18616692371707932,0.24990487239840312,0.4396291504098923,0.0027793727461814144,0.43418157982737676,0.44507672099240786,0.4360717961154824,0.5,0.8863003151003214
interior,0.41400000000000003,0.41400000000000003,0.435638816659895,0.18698035001242896,0.24865846664746605,0.4345075190947002,0.0027483040130377276,0.42912084322914623,0.43989419496025417,0.435638816659895,0.5,0.8812032931670114
interior,0.41600000000000004,0.41600000000000004,0.4352112406592071,0.18779296328806105,0.24741827737114602,0.43805528845843494,0.002776689184654901,0.43261297765651135,0.44349759926035853,0.4352112406592071,0.5,0.8761444815577646
interior,0.418,0.418,0.43478903792123536,0.18860476435658857,0.24618427356464678,0.4342414491377094,0.0027590582283406684,0.42883369501016166,0.43964920326525714,0.43478903792123536,0.5,0.8711234922239173
interior,0.42,0.42,0.43437217840762166,0.18941575402981292,0.24495642437780873,0.4344170241797594,0.0027599116155210797,0.4290075974133381,0.4398264509461807,0.43437217840762166,0.5,0.8661399422970302
interior,0.422,0.422,0.433960632233062,0.1902259331187237,0.2437346991143383,0.43209462684890065,0.002725793258070814,0.42675207206308186,0.43743718163471945,0.433960632233062,0.5,0.861193454002634
interior,0.424,0.424,0.4335543696645404,0.1910353024335002,0.2425190672310402,0.432557139909761,0.0027405896063317286,0.42718558428135084,0.4379286955381712,0.4335543696645404,0.5,0.8562836545756948
interior,0.426,0.426,0.4331533611205657,0.19184386278351162,0.2413094983370541,0.43300461059102935,0.002759424737842396,0.42759613810485825,0.43841308307720045,0.4331533611205657,0.5,0.8514101761777564
interior,0.428,0.428,0.4327575771704132,0.19265161497731853,0.24010596219309463,0.431412688330086,0.002715146796501227,0.4260910006089436,0.4367343760512284,0.4327575771704132,0.5,0.8465726558157242
