system,n,rho,rinf,mc_regret,mc_se,cov_regret,mc_normalized,cov_normalized,theory_normalized
D,32,0.25,101.80607871736578,40.10075954805182,0.3630141395953382,40.05757063016562,0.393893567587252,0.3934693402873666,0.3934693402873666
D,32,0.375,101.80607871736578,53.49066311500806,0.4947450217905518,53.716292265563325,0.525417183226445,0.5276334472589853,0.5276334472589853
D,32,0.5,101.80607871736578,64.21465918120413,0.5885706873315902,64.35371537096539,0.6307546660300803,0.6321205588285577,0.6321205588285577
D,32,0.625,101.80607871736578,73.96478051915525,0.675361355747931,72.63814881531437,0.7265261706473973,0.7134952031398099,0.7134952031398099
D,32,0.75,101.80607871736578,77.50830771551682,0.6977448034037397,79.0900720690763,0.7613328073532379,0.7768698398515702,0.7768698398515702
D,32,0.875,101.80607871736578,83.92943838891767,0.7688306983276398,84.1148349514227,0.8244049809827441,0.8262260565495548,0.8262260565495548
D,32,1.0,101.80607871736578,86.86891430498984,0.7909250278340647,88.0281242189422,0.8532782658897557,0.8646647167633873,0.8646647167633873
D,32,1.125,101.80607871736578,91.45350838765074,0.8279992907535999,91.0757969648713,0.8983108822170053,0.8946007754381357,0.8946007754381357
D,32,1.25,101.80607871736578,92.60284577389226,0.8382209632275838,93.44932688594628,0.9096003592376487,0.9179150013761013,0.9179150013761012
D,32,1.375,101.80607871736578,95.58339453839065,0.8640964637306073,95.29783384712287,0.93887708614875,0.9360721387932924,0.9360721387932924
D,32,1.5,101.80607871736578,96.43712131578815,0.8748997209957475,96.73745251600015,0.9472628995319332,0.950212931632136,0.950212931632136
D,32,1.625,101.80607871736578,98.31889353470548,0.8918035459484739,97.85862866264598,0.9657467881427647,0.961225792168278,0.961225792168278
D,32,1.75,101.80607871736578,98.62296932222604,0.9022738693363987,98.73180152361475,0.9687336018119636,0.9698026165776815,0.9698026165776815
D,32,1.875,101.80607871736578,100.72703858413237,0.92119180064173,99.41182923149391,0.9894010245082807,0.9764822541439909,0.9764822541439909
D,32,2.0,101.80607871736578,99.28671351704915,0.8938097809909528,99.94143534290046,0.9752532930051172,0.9816843611112658,0.9816843611112658
D,32,2.125,101.80607871736578,101.01033830845348,0.916850654297266,100.35389299718328,0.9921837632984428,0.9857357660910008,0.9857357660910008
D,32,2.25,101.80607871736578,101.94017854139256,0.9366478063831111,100.67511534132254,1.0013172084193427,0.9888910034617577,0.9888910034617577
D,32,2.375,101.80607871736578,100.59282369479574,0.9127160871047381,100.92528355447823,0.9880826858488649,0.9913483047968794,0.9913483047968794
D,32,2.5,101.80607871736578,100.5049232850565,0.923314066722098,101.12011475478344,0.9872192756198621,0.9932620530009145,0.9932620530009145
D,32,2.625,101.80607871736578,101.75547731982645,0.9427176109957695,101.2718494461479,0.9995029629057828,0.9947524816008186,0.9947524816008186
D,32,2.75,101.80607871736578,100.52288074464889,0.9116547737777351,101.39002054260163,0.9873956644938726,0.995913228561536,0.995913228561536
D,32,2.875,101.80607871736578,102.16279455336796,0.9288820867625062,101.4820522850562,1.003503875608376,0.9968172192034903,0.9968172192034903
D,32,3.0,101.80607871736578,102.49363686600067,0.9360739997290127,101.55372667814724,1.006753606044917,0.9975212478233336,0.9975212478233336
