graph,radius,eta_S,regret,is_optimum,rstar,rstar_regret,left_regret_gap,right_regret_gap
path,26,8.370291688072583e-13,0.7129216201545386,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,27,2.9954208911786375e-13,0.7263758966296738,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,28,1.071577526255976e-13,0.7391996221189042,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,29,3.831691237692501e-14,0.7514223481589298,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,30,1.371179839365379e-14,0.7630722413178815,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,31,4.940776265879115e-15,0.7741761481035253,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,32,1.7970839075308726e-15,0.7847596568294828,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,33,6.696907859163306e-16,0.794847156582023,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,34,2.914841190499137e-16,0.8044618934233052,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,35,1.2767486206318533e-16,0.8136260239605901,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,36,9.635838646278137e-17,0.822360666404865,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,37,7.708670917022511e-17,0.8306859492365448,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,38,6.26329512008079e-17,0.8386210575903951,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,39,7.467774950865557e-17,0.8461842774665707,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,40,6.98598301855165e-17,0.8533930378696499,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,41,7.226878984708603e-17,0.8602639509727711,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,42,7.467774950865557e-17,0.8668128503994295,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,43,6.745087052394696e-17,0.8730548277111501,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,44,7.949566883179463e-17,0.879004267185122,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,45,7.949566883179463e-17,0.8846748789619374,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,46,7.467774950865557e-17,0.8900797306398198,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,47,7.467774950865557e-17,0.8952312773881521,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,48,7.708670917022511e-17,0.9001413906496968,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,49,8.190462849336417e-17,0.9048213854976523,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,50,7.708670917022511e-17,0.9092820467105875,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,51,8.43135881549337e-17,0.9135336536253421,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,52,6.745087052394696e-17,0.9175860038251671,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,53,8.190462849336417e-17,0.9214484357176904,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,54,6.98598301855165e-17,0.9251298500547402,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,55,7.708670917022511e-17,0.9286387304436139,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,56,6.98598301855165e-17,0.9319831628970631,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,57,8.190462849336417e-17,0.9351708544670441,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,58,7.226878984708603e-17,0.938209151005175,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,59,8.43135881549337e-17,0.9411050540908282,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,60,7.708670917022511e-17,0.9438652371658662,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,61,8.190462849336417e-17,0.9464960609132046,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,62,8.190462849336417e-17,0.9490035879146386,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
path,63,7.949566883179463e-17,0.9513935966217144,False,2,0.12486827038385329,0.018562537107772892,0.0207383142463623
ring,0,0.27244886277141184,0.2724488627714119,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,1,0.10588821547344453,0.1477918487435783,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,2,0.03899285790546713,0.12695959222209086,True,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,3,0.014345642854775159,0.1465339683267779,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,4,0.005277502220334171,0.17904869033923954,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,5,0.0019414860919954684,0.21489936598528347,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
ring,6,0.0007142328924537311,0.25077391215163436,False,2,0.12695959222209086,0.020832256521487458,0.01957437610468704
